specialty,link,question,answer
Physiotherapy,https://www.maxhealthcare.in/our-specialities/physiotherapy/faqs,Is yoga and physiotherapy inter-related?,"There are certain exercises that overlap between physiotherapy and yoga, clearly showing that while they are different in their ideologies, they are similar in different aspects. Physiotherapy is a rehabilitation program that concerns itself with only one specific problem area at a time; whereas yoga has a more holistic approach where the spiritual and mental health is as important as the physical health. What unites them is the emphasis on slow movements, with no jerks, focusing on increasing blood circulation and increasing tensile strength. It is about the reaching maximum tension without pain."
Physiotherapy,https://www.maxhealthcare.in/our-specialities/physiotherapy/faqs,What exercises are recommended for those with hip injuries?,"Strengthening of the muscles around the hip joint & increasing flexibility are the two ways to reduce hip pain. Gluteal Tuck: Lie flat on the floor, with your knees drawn and your feet firmly down. Squeeze your buttocks and hold for 10 seconds. Slowly release the buttocks. Repeat 30 times a day. Bridge: Lie flat on your back on the floor, with your knees drawn and your feet firmly planted down. Increase the distance between both the legs until they are about half an arm’s length away. Putting your weight on your shoulders, slowly raise your buttock of the ground, using your gluteal muscle, quadriceps and abdominal muscles. Hold for 5 seconds, followed by slowly lowering it to the ground."
Physiotherapy,https://www.maxhealthcare.in/our-specialities/physiotherapy/faqs,How many sessions do I require?,"The number of physiotherapy sessions depends on the type of condition & the health status of the patient. In most cases, a minimum of 10 sessions are strongly advised."
Physiotherapy,https://www.maxhealthcare.in/our-specialities/physiotherapy/faqs,What exercises are recommended for runners?,"Running is a high-intensity cardiovascular exercise that leads to tightening of the muscles. Pre & Post run stretches are strongly advised to keep the muscle supple and the tendons lax. Hamstring Stretch: Stand straight and bend one knee backward, holding the toes behind your back with the corresponding arm. Press the leg further into your back, using your other hand to find some support if needed. Repeat the same for the other leg. Calves Stretch: Stand straight and stretch one leg forward, with the heel on the floor and toes pointing upward. Bend forward and hold the toes, pushing them towards the shin. Repeat the same for the other leg. If you do not want to bend forward, find a surface where you can keep one leg at waist level. Turn your body 90 degrees, and bend sideways from the waist to hold the toes and push to the shin. Lunge Stretch: Stand with one leg in front and one leg at the back. Bend your front leg to 90 degrees, stretching the back leg as far as possible, to maximum tension. Slowly, shift your weight on to the forward leg, with your arms by your side or resting on the front thigh. Slowly come back to standing straight and repeat for other leg."
Physiotherapy,https://www.maxhealthcare.in/our-specialities/physiotherapy/faqs,My neck hurts while working on the computer. Please suggest some exercises.,"Posture while sitting, the vertebral support of the chair & placement of the computer on the desk contribute to workplace neck pain. Apart from rectifying this, there are a few exercises one can do to strengthen the neck: Side to Side: Stand straight with your arms loosely placed in front. Turn your neck slowly to one side, rolling it to the other side, dipping your chin to your chest in the process. Repeat this movement 30 times. Shoulder shrug: Stand straight, with your shoulders relaxed. Slowly, raise both shoulders together, like a shrugging gesture, to maximum tension and lower them back to starting position. Repeat 20 times Tilt to Side: Stand straight, with your shoulders relaxed. Tilt your head slowly towards one side, the corresponding arm gently pushing it down further. Keep for 10 – 20 seconds, repeat on the other side. Practice this exercise 8 – 10 times a day."
Physiotherapy,https://www.maxhealthcare.in/our-specialities/physiotherapy/faqs,How will you treat arthritis?,"Arthritis is a painful disorder which leads to inflammation of joints (Especially weight bearing joints). A physical therapist aims at reducing the pain and stiffness that is associated with arthritis by using hot and cold treatments. They will explain the importance of posture and how to make sure you are standing correctly. You will be advised about braces, splints and shoes you should be using to maintain a good posture. If you are using a walking aid, such as a cane or a walker, you will be taught how to use them properly. Manual manipulations, mobilizations, stretching and strengthening exercises are done to reduce the pressure on the joints by focusing on the surrounding group of muscles."
Physiotherapy,https://www.maxhealthcare.in/our-specialities/physiotherapy/faqs,What are treatment options for gynecology patients?,"There are several conditions in gynecology that may require physiotherapy such as  Pelvic Pain: Physiotherapy helps in strengthening pelvic floor which helps reduce the pain  Dyspareunia: Painful sexual intercourse can be treated by strengthening the pelvic floor  Uterine prolapse: Kegel exercise is taught to patients of uterine prolapse to retract the protruded organ and strengthen the pelvic floor  Stress urinary incontinence: When we cough or sneeze, we may pass a small amount of urine. This is known as stress incontinence. Physiotherapeutic exercises help in strengthening the pelvic floor that leads to a more controlled bladder."
Physiotherapy,https://www.maxhealthcare.in/our-specialities/physiotherapy/faqs,How long can a session last?,A regular physiotherapy session lasts 45 min to 1 hour. NOTE: Any of the above stated exercises are not recommended without the prescription and advice from a physiotherapist
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,What all should i carry for my first appointment?,"Before meeting your surgeon for the first time, here’s a checklist of items you should be carrying: Research the procedure and write down all the questions you want to ask the surgeon. Any recent (<1 year) medical tests such as blood tests, urine tests, etc. If you have any existing medical conditions, bring along your prescription and related medical information."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,What are the risks associated with the procedure?,"Each reconstructive surgery has its own risks which depend on the type of procedures & health status of the patient prior to the procedure. Risk of a post-op infection is common in all procedures. Reconstructive surgery is performed to better one’s looks so scarring is a troubling possibility. Hematoma, a collection of blood that looks like a large bruise, is common for most procedures especially breast augmentation & face lifts. Seroma, a condition where serum accumulates under the surface of the skin leading to blister formation, is commonly associated with tummy tucks. Excessive bleeding, anesthesia problems & surgery problems are risks for all surgeries."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,How long will the results last?,"Reconstructive surgeries like rhinoplasty, facelifts & breast augmentation do not require any other procedure unless there is a complication or a patient dissatisfaction. Botox lasts for 3-6 months, longer in younger patients. Temporary lip fillers last around 6 months. Most temporary procedures last for 6 to 12 months."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,What are the most popular procedures for men and women?,"Popular reconstructive surgeries for women are breast augmentation, liposuction & tummy tucks whereas amongst men, tummy tucks, nose surgery (rhinoplasty) & eyelid surgery (blepharoplasty)"
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,Will my voice be affected after rhinoplasty?,Insurance does not cover Aesthetic (Cosmetic) plastic procedures and but any reconstructive plastic surgery done for trauma or cancer is usually covered.
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,How will you ensure the safety of outpatient surgery?,Safety for all surgeries is ensured by adequate evaluation before surgery by our highly trained surgical specialists and also our anesthesiologists. Global best practices are practiced by our esteemed surgical faculty of national and international repute.
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,Who are the right candidates for surgery?,"Generally, those who are young (< 40 years of age), healthy (BMI < 25), psychologically stable, non-smokers and exercise regularly are considered as right candidates for surgery. When it comes to specific procedures, it changes with each type of procedure. Lip-Augmentation: What’s good: Younger age wanting fuller lips, Older age with naturally thinned lips What’s not: Recent use of acne creams, lifestyle disease (diabetes), autoimmune disease (rheumatoid, SLE) or allergy to material used. Cheek Implants: What’s good: Flat cheeks, Early sagging of cheeks What’s not: Excessive sagging of cheeks Chin Implant: What’s good: Weak chin What’s not: Jawline that needs dental work Brow Lift: What’s good: Frown lines, heavy eyebrows What’s not: Easily scarring forehead, balding Eyelid surgery: What’s good: Droopy eyelids, puffiness around eyes What’s not: Crow’s feet, dark circles Nasal surgery: What’s good: Large nose +/ a bump, Crooked nose What’s not: Playing contact sports, thick skin Face/Neck lift: What’s good: Double chin, sagging, folded skin What’s not: Rigid skin"
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,Will exercises have any effect on the procedures?,"Exercises have minimal effect on the procedures, especially after getting the ‘go’ from the surgeons. Normally, it is said that one can start exercising after 4 -6 weeks of the procedure. There should be a gradual buildup of the regimen – follow the 10% rule-the amount of exercise to be added each week. Don’t exercise cardio based activities too soon as they may lead to swelling. Always confirm with the doctor before adding to your day."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,What should be the post-surgery precautions?,"In the hospital: • One must research beforehand the complications of the procedures and read about the discomfort immediately post-surgery. It is best to be prepared for any situation • Depending on the procedure, there will be varying amounts of pain. Your doctor will prescribe you painkillers to make you more comfortable • There is always a chance of infection, therefore when checking the incision site, make sure you are washing your hands or using sanitizers. • Ice the affected areas to reduce the swelling and redness • After being discharged, follow the medication plan with your doctor, understanding your schedule and fix up the next follow up. At home: • Make sure to follow the medication plan exactly as discussed. Talk to your doctor if you feel confused about anything. • Use ice packs at home to reduce the swellness • Use creams that are prescribed to help the healing process • If it is a facial procedure, try avoiding make up until completely healed. • If it is breast augmentation, avoid sleeping on your stomach until your doctor gives you the go ahead. • Be extra careful of sun exposure."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,How can i reduce the swelling and redness?,"To reduce swelling and redness, use cold compress to help bring down the inflammation. Avoid dehydration by drinking copious amounts of water; it helps in the healing process. Your doctor would have given you creams to use at the incision site and around; use it well."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,How safe is botox?How often will i have to repeat my injections?,"Botox is a safe procedure, especially with a trained and experienced surgeon. The possible side effects are temporary and settle down within a week of the procedure. The effects are seen up to 3-6 months. To maintain a continued effect, one needs to follow up with injections."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,"In case i stop taking Botox,what will happen?","In case you stop Botox, your wrinkle lines will come back. However, they do not increase. As the patient has not seen the wrinkles in a while they may feel that it has increased and it becomes difficult for them to accept the facial features."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,What steps will you take to correct facial paralysis?,"There are various steps one can take to correct facial paralysis – static and dynamic procedures. Dynamic procedures have shown better results over the years and are preferred. These include:  Facial nerve repair with or without nerve grafting  Nerve transfer  Cross facial nerve transfer  Muscle transfer If there is involuntary twitching with facial paralysis, Botox is used to get rid of the twitching. Post-surgery physical therapy is a must."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,Are facelifts procedures long lasting?,"Facelifts help in decreasing your aging process. On an average, it shaves off 5 to 10 years off your face. However, natural aging continues, that will require another touch up in 10 years from surgery. Therefore, it is common to see people in their 40’s or 50’ getting a facelift."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,How often will i have to undergo cosmetic surgery?,"Depending on your need and satisfaction of expectations, there are different timelines for each type of procedure. Non-surgical procedures such as Botox can be repeated every 3-6 months whereas with procedures such as breast augmentation, surgery is revisited only if a complication arises or the patient is dissatisfied completely."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,How long will the procedures take?,"Reconstructive surgeries, on an average, take between 2 to 3 hours. It might take longer for multiple procedures or more extensive surgeries. Adding to this, there is prep time and recovery time, rounding it off to 4 to 6 hours from start to finish."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,Are the procedures painful?,"While performing the procedure, the patient is given anesthetic (general or local). The post-operative recovery period is painful for most. Pain is subjective and everyone feels varying degrees of pain and may report of severe discomfort to an extremely painful condition."
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,"""How soon can i resume work?""","Optimally, one can resume work after 2 weeks of the procedure. However, it depends from patient to patient on several factors such as pain, inflammation, healing of incision site"
Aesthetics and Reconstructive,https://www.maxhealthcare.in/our-specialities/aesthetics-and-reconstructive/faqs,Do i require any post-surgery follow ups?,Yes. Your doctor will schedule post-surgery follow ups to check your incision sites to see for any infection or inflammation. They will adjust your medication according to your symptoms and look for complications.
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,What all should I carry for my first appointment?,"You need to carry: A list of documents describing your symptoms in details (When, What, How Long). Any recent (<1 year) medical investigations such as blood tests, CT scans etc. If you have any existing medical conditions, carry along your prescription and list of current medications you are taking. Your insurance details or company ID in case the hospital is on your health panel."
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,What all conditions you treat?,"COPD, Asthma, Tuberculosis, ILD (Interstitial Lung Disease), Respiratory Failure, Lung Cancer, Sleep Apnea syndrome (OSAHS), Snoring, Pleural Effusions, Pneumothorax, Pulmonary infections, Sarcoidosis, Hemoptysis (coughing out blood), Lymph nodes (glands)/ Masses in the chest"
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,Is asthma fatal?,"Asthma, if not taken care of or controlled properly can prove to be fatal. Studies have shown that people who died of asthma, one third of them had mild disease. Thus, it is very important to keep your asthma in check and try and reduce your exposure to polluted air as much as possible."
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,When is Asthma Alarming?,"Asthma can be caused by exposure to dust, pollens, cockroaches, house mites, air pollutants, perfumes, smoke and viral infections. It can be life threatening for some people and may require intervention. Few alarming symptoms are: Breathing in hard that the abdomen is sucked inside the ribs Gasping for air Difficulty in speaking"
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,How can I reduce asthma attacks?,"You can do the following to reduce asthma attacks: You need to find out what triggers your asthma attack and device an action plan to treat it accordingly Get yourself vaccinated for pneumonia and influenza Keeping a check on your breathing pattern Seek medical intervention quickly for any symptoms that can prompt the attack You need to take medicines as prescribed by your doctor In case you are using an inhaler and despite that not feeling relieved, it is a must for you to visit the doctor"
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,When to see the doctor for asthma?,"When the air passage between the mouth, nose and lungs gets interrupted and there is inflammation or swelling of bronchial tubes, you might be suffering from serious bronchitis. A prolonged cough and cold can lead to acute bronchitis in children, while older adults can be also face problems in breathing if medical intervention is not taken on time. You need to visit the doctor if: You are having high fever- more than 101 degrees Difficulty in sleeping Coughing up blood Gasping for breath You are producing any discolored mucus"
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,What are the two main conditions of COPD? Are there any diagnostic criteria?,"COPD includes two main conditions EMPHYSEMA - In Emphysema, the air sacs and their walls get damaged and larger air sacs are formed instead of small ones. Chronic BRONCHITIS - In Chronic Bronchitis, the lining of the air tubes is inflamed and thickened. This produces a large amount of mucus (balgam) and makes it hard to breathe. Your doctor or pulmonologist will diagnose COPD based on your signs and symptoms, history, physical examination and tests reports. Below mentioned are few tests"
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,What are the treatment options of COPD?,"COPD has no cure, yet with treatment you feel better, stay more active and slow the progress of the disease. Quit Smoking Avoid lung irritants like chemical fumes, dust, heavy air pollution, second hand smoking. Medicines - Bronchodilators through inhalation route like puffs (inhalers), rotacaps, and nebulizers. They allow the medicine to go straight to your lungs and are more effective. Vaccination - Flu (Influenza) shots and Pneumococcal (Pneumonia) vaccine Oxygen therapy - Patients with severe advanced disease need home oxygen therapy. Surgery - Some patients need surgical treatment. Living with COPD : - Patients should manage their symptoms and slow the progress of the disease by: Avoiding irritants/smoking. Get ongoing care Manage the disease and its symptoms. Prepare for emergencies."
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,What will happen to my body if I sleep less?,"Sleep is one of the key factors that determine the health of an individual. How one wakes up in the morning is a fair indicator whether one is getting a proper sleep or not. Therefore, if you have been snoozing your alarm too often, you might be damaging your own health. Experts believe that under normal circumstances, one should be able to wake up refreshed. And if you are not then you might be suffering from a sleep disorder. This can cause neurological changes in your body and can reduce the productivity at work. Moreover, in the short run it can cause memory problems and severe hormonal changes in your body."
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,How will I know if I am suffering from sleep apnea?,"Sleep apnea is one of the most common disorders that often go undiagnosed. Sleep apnea should not be overlooked because its symptoms are so broad that it can interrupt your hard day at work and can lead to serious complications. The most common symptoms are: Waking up with sore or dry throat Loud snoring Occasionally waking up with a choking or gasping sensation Sleepiness or lack of energy during the day Sleepiness while driving Morning headaches Restless sleep Forgetfulness and mood changes In addition to this, Obstructive Sleep Apnea (OSA) can have a negative impact on your health and can cause: Heart attack and Blood Pressure Diabetes Lead to Weight Gain Depression Aging of Skin"
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,What is Thoracocentesis/Pleural Aspiration?,"It is a percutaneous procedure in which a needle is inserted into the pleural space and pleural fluid is removed either through the needle or a wide bore catheter. Diagnostic thoracocentesis is the removal of a small volume of pleural fluid, while Therapeutic thoracocentesis is the removal of a large volume of fluid to give symptomatic relief to the patient. Our specialists recommend that patients who have a pleural effusion should undergo diagnostic thoracocentesis to determine the nature of effusion and identify potential causes. The procedure is performed under ultrasound (USG) guidance"
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,How will tube thoracostomy be helpful to me?,It is a procedure in which a tube is placed through the chest wall into the pleural cavity to drain air or fluid from the pleural space. Its indications are: Pneumothorax (Air in the lungs) Hemothorax (Blood in the lungs) Pleural effusion (Fluid/ water in the lungs) Pleurodesis
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,What is Pulmonary (Lung) Function Test (PFT),PFT measures how much air you can breathe in and out and how fast you can do it and how well your lungs are working to deliver oxygen to your blood. PFT is a painless test and a technician will ask you to take a deep breath and then blow as hard as you can into a tube connected to PFT machine. PFT is the most important test for the diagnosis and management of COPD. PFT is similar to ECG of the lungs.
Pulmonology,https://www.maxhealthcare.in/our-specialities/pulmonology/faqs,Please add new questions and answers related to following important topics,ILD Sarcoidosis Oxygen therapy Bipap/ Cpap Bronchoscopy EBUS Medical Thoracoscopy Sleep Study Lung Cancer Smoking Hemoptysis
Podiatry,https://www.maxhealthcare.in/our-specialities/podiatry/faqs,What are the different foot conditions you treat?,We primarily treat: • Athletes Foot • Ankle Sprains • Corns • Bunions • Arch Pain • Fungal Nails • Achilles Pain • Dry Cracked Heels • Flat foot care
Podiatry,https://www.maxhealthcare.in/our-specialities/podiatry/faqs,How can I take care of my foot?,"It is necessary to wear the right footwear, maintain a correct gait and weight. There are 33 joints in our foot and our entire body weight is supported by them. Ideally, no area of foot should take an extra weight. If there is an uneven distribution of weight and an uneven displacement of pressure on our feet, then there is a possibility of corns, callouses, ingrown tails, knee pain and back pain. It is possible that if there is an uneven distribution of pressure, the problem can persist for more than 20 years."
Podiatry,https://www.maxhealthcare.in/our-specialities/podiatry/faqs,What are the foot care tips for Diabetics patients?,"Due to the deposition of fat and cholesterol inside the blood vessels, the supply of blood gets limited so if there is any injury or infection in the feet; it takes a long time to heal. You can undergo diabetic neuropathy, foot pressure and foot sensation screening for better results. Below mentioned are few foot care tips you can follow: • Wash your feet everyday • Dry your feet well after bath especially between the toes • Keep the skin soft and smooth, use moisturizing cream if your skin is dry but avoid putting cream between the toes • Wear extra wide, and well-cushioned footwear. • Be cautious in cutting your nails. Trim your nails straight, avoid deep cutting of nails as you may injure the skin around the nails. • Avoid using hot water bottle and electric pads for your feet. • Refrain from doing bathroom surgeries for corns and calluses and do not use nay corn cap that is available in the market. • Never neglect any cuts, injury to skin, swelling, redness, and infection of nails. Take prompt medical advice and avoid self-medication."
Podiatry,https://www.maxhealthcare.in/our-specialities/podiatry/faqs,What are the causes of heel pain?,"Heel pain can originate deep within the foot, directly on the heel bone or within foot’s connective tissues (fascia). There are several layers of fatty tissue around the heel bone that softens the running and walking of the foot. Beneath this padding, a tissue extends from the heel bone, supports the arch and reaches across to the toes. You can experience pain if the tissues become irritated or inflamed or when small spurs grow on the heal bone. Most causes of heel pain are characterized by: • Inflammation • Heel spurs: They can be painless but can be a cause of chronic heel pain, which may require surgical or medical removal. • Causes like: Gout, Arthritis, Collagen disorders, Tumors, Nerve injures, Psoriasis"
Podiatry,https://www.maxhealthcare.in/our-specialities/podiatry/faqs,Are there any surgical treatments for heel pain?,"In most cases, heel pain can be relieved without surgery. The treatment may include medications, self-care, therapy or orthotics. If the non-surgical treatment fails and pain persists, then surgical intervention may be required. The surgical treatments are usually completed on an outpatient basis. They are performed comfortably under local anesthesia by trained personnel."
Podiatry,https://www.maxhealthcare.in/our-specialities/podiatry/faqs,What is the treatment for ingrown nails?,"If the nail is not infected, your podiatrist may trim the corner of it to relieve pain. It may be required to remove one side of your nail back to the cuticle. The base of nail is then treated with a chemical to avoid the ingrown part from growing back. In case of severe infections, you may be prescribed with antibiotics, temporary or permanent removal of a portion of a nail."
Podiatry,https://www.maxhealthcare.in/our-specialities/podiatry/faqs,Can Peripheral Artery Disease (PAD) affect my lower limbs?,"Individuals who are suffering from PAD face a higher risk of heart attack, stroke and death. If undetected, PAD can lead to amputations of lower limbs, thereby increasing the chances of having a heart attack. We perform a non-invasive ankle brachial index (ABI) test to determine if you are at a risk of developing PAD or already have it. The ABI index compares the ankle blood pressure against arm blood pressure to determine the progression of the disease. However, many individuals with PAD do not experience leg symptoms like cramping, pain or fatigue. The common symptoms you can witness are: • Tiredness, pain in the legs, buttocks that always happens when you walk but goes away when you rest. • Foot or toe pain that often disturbs your sleep • Skin wounds or ulcers on your feet or toes that are slow to heal"
Podiatry,https://www.maxhealthcare.in/our-specialities/podiatry/faqs,Are warts contagious? Can they cause cancer?,"Warts are unwanted growth on the skin, caused by Human Papillomavirus (HPV). They are majorly benign in nature but can be infectious if not treated properly. They have a tendency to spread through skin to skin contact. However, not all strains of this virus are contagious because it depends on the person’s immune system. Genital warts which are transmitted sexually lead to unwanted skin growths. These skin growths can cause pain, discomfort and itching. These are dangerous for women as some types can eventually cause cancer around vaginal area if not treated properly."
